region,transportation_type,variable,value,pred_group_1,pred_group_2,pred_group_3,pred_group_4,pred_group_5,pred_group_6,pred_group_7,pred_group_8,pred_group_9,pred_group_10,pred_group_11,pred_group_12,pred_group_13,pred_group_14,pred_group_15,pred_group_16,pred_group_17,pred_group_18,pred_group_19,pred_group_20,pred_group_21,pred_group_22,pred_group_24,pred_group_25,pred_group_26,pred_group_27,pred_group_28,pred_group_29
Brazil,driving,2021-08-18,114.62,118.2364411,138.351085547854,147.179762880927,132.913226386416,122.176751667774,115,98.4911172294648,111.536233253494,158.800123829079,112.729825,115.528190703886,132.281014047564,135.470379989787,103.620298,115.17581,162.929404735508,132.446582597549,117.010921431673,103.67150617923,113.915173034456,109.33006721448,115.740840253473,101.107874063412,120.595976008612,124.7574871,131.522588596736,155.4963,158.522934774452
Brazil,driving,2021-08-19,120.27,119.1911451,116.137918337603,149.95848286545,135.750227384683,124.767278534608,115,98.5497973142923,114.860534103305,161.490184909223,112.729825,117.905686952457,133.073512837616,140.58690341175,101.2905515,115.8041904,166.106702292949,135.263936404554,120.781409815385,103.530913812563,132.230539046326,110.270859494907,114.24439499412,101.107874063412,122.579416668605,123.7439981,131.307856083573,116.9923,162.592814032291
Brazil,driving,2021-08-20,145.2,143.3975106,107.50011512287,156.525046905697,144.918211009632,125.834886354965,119,98.4411287603316,134.472133870557,169.507847798119,113.7849246,135.045517594633,148.132871839614,158.902959071391,106.546973,116.7304394,170.72463099539,138.081290211559,134.060256727437,114.50922251221,142.299508667892,122.024272656513,135.083755439796,123.185242914909,138.765552889105,125.9394772,131.421293374105,123.5035,170.983411448227
Brazil,driving,2021-08-21,158.85,152.7015372,116.235498771495,159.88628063596,146.486655310673,127.81663525849,142,100.482031672692,142.373704520135,172.929613076633,132.9164619,143.002866799307,145.762235390014,158.197932697168,111.8033945,122.5531591,175.806944161943,140.898644018564,150.054592590723,102.779284474747,107.309742992713,121.503640361638,143.767271679668,123.185242914909,146.824732349957,124.7549483,131.78589471212,130.0147,175.988098795381
Brazil,driving,2021-08-22,113.41,101.2895851,113.221811886589,143.849072397238,129.998883781665,140.603570422615,156,98.2593790792378,103.780291722078,156.450315600626,133.949292,104.780165280035,101.483794217321,121.249713993863,117.059816,124.1077885,160.510106358155,123.994521176534,109.675079971086,101.711127484848,107.744763665021,90.4286625485231,104.879660592422,101.107874063412,125.217857497292,126.7127568,132.203178168088,135.3994,116.570902775137
Brazil,driving,2021-08-23,109.34,112.0494322,136.480612544034,145.958436470881,132.888806574087,144.874772483255,97.8,98.2441068570156,109.659090251132,158.28462994643,103.2678038,111.68902138801,116.320804102434,125.092672036632,85.52128705,110.7485845,161.893351472453,126.811874983539,105.451435530314,101.672346937472,109.797729759237,104.725553154484,110.070546534917,101.107874063412,121.932810570186,125.4346361,131.90933832224,141.9106,157.599336424074
Brazil,driving,2021-08-24,113.26,117.780407,113.68848469276,146.979242976667,134.529917393472,108.113101560874,110,98.429894388344,112.162121086072,159.915064532784,110.7653254,115.125378391058,133.348286214655,132.268971397122,90.77770854,114.1434708,162.798281688338,129.629228790544,108.442898477676,103.327936957008,112.611568696769,108.446393030036,116.507744536893,101.107874063412,125.148837238799,123.0610201,131.813687641807,148.4218,159.485116082203
Brazil,driving,2021-08-25,115.24,118.2364411,137.26860468317,147.179762880927,135.450286454082,123.569444296781,114,98.4253910048853,114.698967331175,166.630875435188,112.0911317,117.350867829929,134.263665818106,137.160834617384,96.03413004,115.17581,163.900425748646,132.446582597549,115.263924722844,104.732193290341,114.010164578163,108.193805189872,119.379067701679,101.107874063412,125.704482874422,122.6542893,131.78504443443,154.933,161.652198003093
Brazil,driving,2021-08-26,117.15,119.1911451,116.167749228785,149.95848286545,138.322922049703,126.215295054408,115,98.4028506957792,114.981310913765,169.320936515332,112.729825,119.658598667964,134.867462102098,158.210109793804,101.2905515,115.8041904,167.047182338493,135.263936404554,120.813419416744,105.570620623674,136.880125133029,109.607284715914,112.592222241359,101.107874063412,127.74099681585,126.2087052,131.570311921029,116.429,125.468665209697
Brazil,driving,2021-08-27,140.24,143.3975106,110.335886666637,156.525046905697,147.536312520243,127.355244659489,119,98.3374822747266,144.702707794754,177.338599404228,113.7849246,136.731334264222,149.930260306492,172.786656273293,106.546973,116.7304394,171.647241527705,138.081290211559,133.019961858814,120.089021039683,152.598591827687,121.799820274135,144.618624433567,123.185242914909,139.404238339754,124.8713605,131.683749211143,122.9403,135.329860397701
